cell,optn,beta,batch,lr,steps_measured,status,diverged,n_window,kappa_raw,r1_dxu,omega_star_over_pi,gain,kappa_spec,kappa_spec_ci_lo,kappa_spec_ci_hi,kappa_drift,stationary,res_limited,kappa_spec_fixed,kappa_spec_h1,kappa_spec_h2,gbs_med,gbs_q25,gbs_q75,gbs_mean,gbs_n,gbs_over_kspec,death_step,healthy_frac,n_healthy,kappa_spec_fullwin,gbs_med_fullwin,halves_agree,ok,why
L_muon_b2048_s0,Muon,0.95,2048,0.001,16000,done,False,12000,0.12337686157226563,-0.5991764997008433,0.6679121635088363,10.805461868363105,1.3331439731574297,1.1930618162773605,1.6915282580822297,-0.46424816324549956,False,False,1.3894079260341585,1.136278660386569,1.8818917435216609,2.0024925120185806,1.7425606420233497,2.3580567779096717,2.097012763886905,12000,1.5020827099985758,,1.0,12000,1.3331439731574297,2.0024925120185806,False,True,
L_muon_b2048_s1,Muon,0.95,2048,0.001,16000,done,False,12000,0.1242392578125,-0.6009256967294019,0.6685336362402606,10.864547469533614,1.349803314083531,1.2163422073850358,1.6733872845480853,-0.47452277748414906,False,False,1.3771789685060447,1.156156387785596,1.8954276341993352,2.0010123661786876,1.7378983521958244,2.3649522848157742,2.1020922430792655,12000,1.4824473649609495,,1.0,12000,1.349803314083531,2.0010123661786876,False,True,
L_muon_b2048_s2,Muon,0.95,2048,0.001,16000,done,False,12000,0.12391538619995117,-0.5850861475293615,0.665966244629675,10.849235336811171,1.3443871867351136,1.2011743953614802,1.6869523633202856,-0.47138574182792603,False,False,1.3777246474092866,1.1522852076629704,1.8857773520084464,2.0006429503760534,1.7408353979607345,2.3581268906283617,2.0993802276275684,12000,1.4881449110168012,,1.0,12000,1.3443871867351136,2.0006429503760534,False,True,
L_nest_b128_beta0.9_s0,SGD-Nesterov,0.9,128,0.006,20000,done,False,13813,1.4665685119628906,-0.9454435900342576,0.9525802113538405,1.513746911199958,2.220013555046944,2.218301268196761,2.225601414298978,0.005158035220594659,True,False,2.1647199476856613,2.2204128901385713,2.2213358128544236,1.754428020719026,1.4782200746982204,2.0151303648487526,1.7478021071453316,13596,0.7902780668751038,18813,0.9262666666666667,13596,2.2198854998200983,1.7218334150011485,True,True,
L_nest_b128_beta0.9_s1,SGD-Nesterov,0.9,128,0.006,20000,done,False,12143,1.4560405883789063,-0.9254441070546578,0.9212161658171119,1.514750189092436,2.20553775657321,2.202633344755729,2.210478031522865,0.004590608447408773,True,False,2.151475978141491,2.2055342389288786,2.2108516696831715,1.6621913065788556,1.3941424542161367,1.9283830239631354,1.6608529667102083,12036,0.7536444577405181,17143,0.8333333333333334,12036,2.205961032228408,1.583200600799201,True,True,
L_nest_b128_beta0.9_s2,SGD-Nesterov,0.9,128,0.006,20000,done,False,14236,1.4775269165039062,-0.9644783624901523,0.9565945630140351,1.5162476473862903,2.2402967110989676,2.234546222837925,2.2457885252825305,-0.006056411010160079,True,False,2.181474645409627,2.2402239258524195,2.245455771455936,1.7931725458671883,1.5176557521218137,2.0674271103607573,1.7938369818998787,14199,0.8004174344332968,19236,0.9544,14199,2.2383927707909446,1.7714965775534002,True,True,
L_nest_b128_beta0.9_s3,SGD-Nesterov,0.9,128,0.006,20000,done,False,11919,1.4634407958984375,-0.9604644197681625,0.9452635890660127,1.5195701755427131,2.2238009871197564,2.212752702767666,2.2240667610020703,0.0024332350082891807,True,False,2.1605914557472072,2.2238012451705407,2.2124429003125403,1.7570096319708182,1.4964825097197425,2.019577655785591,1.758839560484872,11792,0.7900930173821348,16919,0.8064666666666667,11792,2.22351411751625,1.6627477636679746,True,True,
L_nest_b128_beta0.9_s4,SGD-Nesterov,0.9,128,0.006,20000,done,False,15000,1.484656448364258,-0.9606747203212448,0.9458227319413215,1.5164359774723175,2.2513864524858325,2.249120875068505,2.2539470249379394,-0.008918278354933862,True,False,2.1918130209484388,2.2509108001546756,2.25296681465344,1.8191697849504245,1.553605449166656,2.08202505135921,1.8192708758450669,14961,0.8080220003730666,,0.9974,14961,2.2513864524858325,1.8178413722614137,True,True,
L_nest_b2048_beta0.9_s0,SGD-Nesterov,0.9,2048,0.0065,16000,done,False,12000,1.3571946144104003,-0.9996163647439678,0.9951404294948428,1.4759793298852975,2.003191197501397,1.9998796970220631,2.0052915797186928,-0.0010128414689553056,True,False,2.0003115555562623,2.003218925383579,2.00003501405189,1.9998270827316333,1.9996311593898601,2.0002333563061168,1.9994523133323359,12000,0.9983206222281927,,1.0,12000,2.003191197501397,1.9998270827316333,True,True,
L_nest_b2048_beta0.9_s1,SGD-Nesterov,0.9,2048,0.0065,16000,done,False,12000,1.3576738624572753,-0.9998117424236187,0.9979914206395837,1.474079868188851,2.0013197082144685,2.0005147107641394,2.0016815894020907,-0.0010717959916930475,True,False,2.0007001064547425,2.0013480410730886,2.00067790909919,1.9999382088371296,1.9993527368080435,2.0007789968133967,1.9999024334885735,12000,0.9993097058047905,,1.0,12000,2.0013197082144685,1.9999382088371296,True,True,
L_nest_b2048_beta0.9_s2,SGD-Nesterov,0.9,2048,0.0065,16000,done,False,12000,1.3570775299072264,-0.998813676233862,0.9931011083909185,1.4761962260691275,2.0033127281322614,1.9995554891897727,2.0048731942982676,-0.0004521363176206439,True,False,2.000011955535408,2.0033467598878776,1.9998842076523098,1.9988712793718926,1.9946364815101352,2.000237208423195,1.9970500667765618,12000,0.9977829478653043,,1.0,12000,2.0033127281322614,1.9988712793718926,True,True,
L_nest_b2048_beta0.9_s3,SGD-Nesterov,0.9,2048,0.0065,16000,done,False,11241,1.3567549896240234,-0.9993395535593046,0.9942600111515486,1.4758524253328729,2.0023701420190916,1.9993035352005843,2.0035156565580596,-0.001028979678034836,True,False,1.9989847165723902,2.0023702972021358,1.9993169571517435,1.9959341425295005,1.993122073937872,1.998685185559892,1.9950752107676237,11241,0.9967858092994228,15241,0.94625,11241,2.0024222512737064,1.9957272842771852,True,True,
L_nest_b2048_beta0.9_s4,SGD-Nesterov,0.9,2048,0.0065,16000,done,False,12000,1.3572533798217772,-0.9998285143572159,0.9966116171787324,1.4744064726372696,2.001143168218039,1.9990099673630188,2.0021967707130357,0.00043655022317867775,True,False,2.0002962723125064,2.0011453126937484,2.0000384007542826,1.999648015624476,1.9990694894915249,2.000274197925238,1.9987068629933564,12000,0.9992528507618501,,1.0,12000,2.001143168218039,1.999648015624476,True,True,
